Dominant_Topic,Perc_Contribution,Topic_Keywords,Page
13.0,0.4763,"power, energy, fuel, air, system, gas, high, systems, vehicles, electric",Smart_grid.txt
1.0,0.4813,"research, management, social, systems, design, development, science, system, information, process",Creative_industries.txt
4.0,0.568,"world, country, population, war, government, people, state, national, europe, largest",German_colonial_empire.txt
1.0,0.7323,"research, management, social, systems, design, development, science, system, information, process",Sociotechnical_system.txt
13.0,0.424,"power, energy, fuel, air, system, gas, high, systems, vehicles, electric",lead-acid_batteries.txt
13.0,0.3948,"power, energy, fuel, air, system, gas, high, systems, vehicles, electric",load.txt
1.0,0.4663,"research, management, social, systems, design, development, science, system, information, process",Video_game_design.txt
4.0,0.6243,"world, country, population, war, government, people, state, national, europe, largest",Naples.txt
1.0,0.3088,"research, management, social, systems, design, development, science, system, information, process",environments.txt
14.0,0.4099,"economic, government, law, public, market, company, international, united_states, state, countries",ethical_consumerism.txt
0.0,0.3323,"species, plants, plant, animals, food, animal, population, fish, organisms, found",Vegetarianism.txt
2.0,0.8008,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",Dynamical.txt
10.0,0.5965,"made, material, materials, process, water, concrete, high, glass, plastic, wood",Diamond_grinding_of_pavement.txt
2.0,0.7203,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",moisture_retention.txt
7.0,0.7579,"philosophy, theory, social, human, world, language, political, nature, history, thought",Critical_rationalism.txt
13.0,0.5973,"power, energy, fuel, air, system, gas, high, systems, vehicles, electric",Pump.txt
6.0,0.7054,"university, work, art, american, published, book, time, history, new_york, life",shade.txt
13.0,0.5442,"power, energy, fuel, air, system, gas, high, systems, vehicles, electric",Truck_driver.txt
11.0,0.3622,"water, earth, soil, surface, sea, land, ocean, areas, temperature, atmosphere",Organisms_involved_in_water_purification.txt
14.0,0.2311,"economic, government, law, public, market, company, international, united_states, state, countries",Office.txt
1.0,0.707,"research, management, social, systems, design, development, science, system, information, process",Integrated_business_planning.txt
9.0,0.6932,"chemical, high, metal, carbon, elements, form, reaction, compounds, process, oxygen",trimethylaluminium.txt
1.0,0.2197,"research, management, social, systems, design, development, science, system, information, process",MARKAL.txt
